origin,55,30,25
vertex,0,1.25,0.00,0.00
vertex,1,1.22,0.00,0.12
vertex,2,1.12,0.00,0.22
vertex,3,1.00,0.00,0.25
vertex,4,0.88,0.00,0.22
vertex,5,0.78,0.00,0.12
vertex,6,0.75,0.00,0.00
vertex,7,0.78,0.00,-0.12
vertex,8,0.88,0.00,-0.22
vertex,9,1.00,0.00,-0.25
vertex,10,1.12,0.00,-0.22
vertex,11,1.22,0.00,-0.12
vertex,12,1.24,0.16,0.00
vertex,13,1.21,0.16,0.12
vertex,14,1.12,0.15,0.22
vertex,15,0.99,0.13,0.25
vertex,16,0.87,0.11,0.22
vertex,17,0.78,0.10,0.12
vertex,18,0.74,0.10,0.00
vertex,19,0.78,0.10,-0.12
vertex,20,0.87,0.11,-0.22
vertex,21,0.99,0.13,-0.25
vertex,22,1.12,0.15,-0.22
vertex,23,1.21,0.16,-0.12
vertex,24,1.21,0.32,0.00
vertex,25,1.18,0.31,0.12
vertex,26,1.09,0.29,0.22
vertex,27,0.97,0.26,0.25
vertex,28,0.85,0.23,0.22
vertex,29,0.76,0.20,0.12
vertex,30,0.72,0.19,0.00
vertex,31,0.76,0.20,-0.12
vertex,32,0.85,0.23,-0.22
vertex,33,0.97,0.26,-0.25
vertex,34,1.09,0.29,-0.22
vertex,35,1.18,0.31,-0.12
vertex,36,1.15,0.48,0.00
vertex,37,1.12,0.47,0.12
vertex,38,1.04,0.43,0.22
vertex,39,0.92,0.38,0.25
vertex,40,0.81,0.33,0.22
vertex,41,0.72,0.30,0.12
vertex,42,0.69,0.29,0.00
vertex,43,0.72,0.30,-0.12
vertex,44,0.81,0.33,-0.22
vertex,45,0.92,0.38,-0.25
vertex,46,1.04,0.43,-0.22
vertex,47,1.12,0.47,-0.12
vertex,48,1.08,0.63,0.00
vertex,49,1.05,0.61,0.12
vertex,50,0.97,0.56,0.22
vertex,51,0.87,0.50,0.25
vertex,52,0.76,0.44,0.22
vertex,53,0.68,0.39,0.12
vertex,54,0.65,0.38,0.00
vertex,55,0.68,0.39,-0.12
vertex,56,0.76,0.44,-0.22
vertex,57,0.87,0.50,-0.25
vertex,58,0.97,0.56,-0.22
vertex,59,1.05,0.61,-0.12
vertex,60,0.99,0.76,0.00
vertex,61,0.97,0.74,0.12
vertex,62,0.89,0.68,0.22
vertex,63,0.79,0.61,0.25
vertex,64,0.69,0.53,0.22
vertex,65,0.62,0.48,0.12
vertex,66,0.60,0.46,0.00
vertex,67,0.62,0.48,-0.12
vertex,68,0.69,0.53,-0.22
vertex,69,0.79,0.61,-0.25
vertex,70,0.89,0.68,-0.22
vertex,71,0.97,0.74,-0.12
vertex,72,0.88,0.88,0.00
vertex,73,0.86,0.86,0.12
vertex,74,0.80,0.80,0.22
vertex,75,0.71,0.71,0.25
